"CurrencyPrimary","Symbol","Description","ISIN","Multiplier","Date","PayDate","Quantity","Tax","Fee","NetAmount","ActionID","SerialNumber","Model","FXRateToBase","AssetClass","SubCategory","Conid","SecurityID","SecurityIDType","CUSIP","FIGI","ListingExchange","UnderlyingConid","UnderlyingSymbol","UnderlyingSecurityID","UnderlyingListingExchange","Issuer","IssuerCountryCode","Strike","Expiry","Put/Call","PrincipalAdjustFactor","ReportDate","ExDate","GrossRate","GrossAmount","Code","FromAcct","ToAcct","LevelOfDetail","DeliveryType","CommodityType","Fineness","Weight"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","16/01/2025","19/02/2025","1","0.23","0","1.29","149689497","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","14/02/2025","17/01/2025","1.52","1.52","Po","","","DETAIL","","","0.0","0.0"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","16/01/2025","19/02/2025","1","-0.23","0","-1.29","149689497","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","20/02/2025","17/01/2025","1.52","-1.52","Re","","","DETAIL","","","0.0","0.0"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","07/02/2025","19/02/2025","1","0.23","0","1.29","148757514","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","10/02/2025","10/02/2025","1.52","1.52","Po","","","DETAIL","","","0.0","0.0"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","19/02/2025","19/02/2025","1","-0.23","0","-1.29","148757514","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","20/02/2025","10/02/2025","1.52","-1.52","Re","","","DETAIL","","","0.0","0.0"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","24/04/2025","06/05/2025","1","0.28","0","1.56","148757513","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","25/04/2025","25/04/2025","1.84","1.84","Po","","","DETAIL","","","0.0","0.0"
"EUR","ASML","ASML HOLDING NV","NL0010273215","1","06/05/2025","06/05/2025","1","-0.28","0","-1.56","148757513","","","1","STK","COMMON","117589399","NL0010273215","ISIN","","BBG000C1HT47","AEB","","ASML","","","","NL","","","","","07/05/2025","25/04/2025","1.84","-1.84","Re","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","30/06/2025","03/07/2025","10","0","0","0.01","149781433","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","01/07/2025","01/07/2025","0.0009","0.01","Po","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","30/06/2025","03/07/2025","10","1.02","0","4.97","149781311","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","01/07/2025","01/07/2025","0.5991","5.99","Po","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","30/06/2025","03/07/2025","10","1.13","0","4.85","149781311","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","02/07/2025","01/07/2025","0.5991","5.98","Po","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","30/06/2025","03/07/2025","10","-1.02","0","-4.97","149781311","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","02/07/2025","01/07/2025","0.5991","-5.99","Re","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","03/07/2025","03/07/2025","10","-1.14","0","-4.85","149781311","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","04/07/2025","01/07/2025","0.5991","-5.99","Re","","","DETAIL","","","0.0","0.0"
"EUR","ENGe","ENAGAS SA","ES0130960018","1","03/07/2025","03/07/2025","10","0","0","-0.01","149781433","","","1","STK","COMMON","15824414","ES0130960018","ISIN","","BBG000BD5B99","BM","","ENG","","","","ES","","","","","04/07/2025","01/07/2025","0.0009","-0.01","Re","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","02/01/2025","07/01/2025","10","0.38","0","1.62","144804106","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","03/01/2025","03/01/2025","0.2","2","Po","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","07/01/2025","07/01/2025","10","-0.38","0","-1.62","144804106","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","08/01/2025","03/01/2025","0.2","-2","Re","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","26/06/2025","01/07/2025","10","1.14","0","4.86","149960108","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","27/06/2025","27/06/2025","0.6","6","Po","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","26/06/2025","01/07/2025","10","-1.13","0","-4.86","149960108","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","09/07/2025","27/06/2025","0.6","-5.99","Re","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","03/07/2025","08/07/2025","10","1.14","0","4.86","153980709","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","04/07/2025","04/07/2025","0.6","6","Po","","","DETAIL","","","0.0","0.0"
"EUR","REDe","REDEIA CORP SA","ES0173093024","1","08/07/2025","08/07/2025","10","-1.14","0","-4.86","153980709","","","1","STK","COMMON","239949851","ES0173093024","ISIN","","BBG000C2V319","BM","","RED","","","","ES","","","","","09/07/2025","04/07/2025","0.6","-6","Re","","","DETAIL","","","0.0","0.0"
"USD","ABBV","ABBVIE INC","US00287Y1091","1","14/01/2025","14/02/2025","3","0.74","0","4.18","144804987","","","0.97177","STK","COMMON","118089500","US00287Y1091","ISIN","00287Y109","BBG0025Y4RY4","NYSE","","ABBV","","","","US","","","","","15/01/2025","15/01/2025","1.64","4.92","Po","","","DETAIL","","","0.0","0.0"
"USD","ABBV","ABBVIE INC","US00287Y1091","1","14/02/2025","14/02/2025","3","-0.74","0","-4.18","144804987","","","0.95309","STK","COMMON","118089500","US00287Y1091","ISIN","00287Y109","BBG0025Y4RY4","NYSE","","ABBV","","","","US","","","","","14/02/2025","15/01/2025","1.64","-4.92","Re","","","DETAIL","","","0.0","0.0"
"USD","ABBV","ABBVIE INC","US00287Y1091","1","14/04/2025","15/05/2025","3","0.74","0","4.18","149668681","","","0.88638","STK","COMMON","118089500","US00287Y1091","ISIN","00287Y109","BBG0025Y4RY4","NYSE","","ABBV","","","","US","","","","","15/04/2025","15/04/2025","1.64","4.92","Po","","","DETAIL","","","0.0","0.0"
"USD","ABBV","ABBVIE INC","US00287Y1091","1","15/05/2025","15/05/2025","3","-0.74","0","-4.18","149668681","","","0.89405","STK","COMMON","118089500","US00287Y1091","ISIN","00287Y109","BBG0025Y4RY4","NYSE","","ABBV","","","","US","","","","","15/05/2025","15/04/2025","1.64","-4.92","Re","","","DETAIL","","","0.0","0.0"
"USD","ABBV","ABBVIE INC","US00287Y1091","1","14/07/2025","15/08/2025","3","0.74","0","4.18","155164614","","","0.86192","STK","COMMON","118089500","US00287Y1091","ISIN","00287Y109","BBG0025Y4RY4","NYSE","","ABBV","","","","US","","","","","15/07/2025","15/07/2025","1.64","4.92","Po","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","03/02/2025","03/02/2025","4","-0.97","0","-5.51","146218694","","","0.96679","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","03/02/2025","27/12/2024","1.62","-6.48","Re","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","10/04/2025","28/04/2025","4","1.02","0","5.78","150544050","","","0.88025","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","11/04/2025","11/04/2025","1.7","6.8","Po","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","28/04/2025","28/04/2025","4","-1.02","0","-5.78","150544050","","","0.87551","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","28/04/2025","11/04/2025","1.7","-6.8","Re","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","12/06/2025","11/07/2025","4","1.03","0","5.77","153641946","","","0.86568","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","13/06/2025","13/06/2025","1.7","6.8","Po","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","12/06/2025","11/07/2025","4","1.02","0","5.78","153641946","","","0.86493","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","16/06/2025","13/06/2025","1.7","6.8","Po","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","12/06/2025","11/07/2025","4","-1.03","0","-5.77","153641946","","","0.86493","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","16/06/2025","13/06/2025","1.7","-6.8","Re","","","DETAIL","","","0.0","0.0"
"USD","AMT","AMERICAN TOWER CORP","US03027X1000","1","11/07/2025","11/07/2025","4","-1.02","0","-5.78","153641946","","","0.85539","STK","REIT","99831145","US03027X1000","ISIN","03027X100","BBG000B9XYV2","NYSE","","AMT","","","","US","","","","","11/07/2025","13/06/2025","1.7","-6.8","Re","","","DETAIL","","","0.0","0.0"
"USD","GOOGL","ALPHABET INC-CL A","US02079K3059","1","07/03/2025","17/03/2025","2","0.06","0","0.34","149210823","","","0.92294","STK","COMMON","208813719","US02079K3059","ISIN","02079K305","BBG009S39JX6","NASDAQ","","GOOGL","","","","US","","","","","10/03/2025","10/03/2025","0.2","0.4","Po","","","DETAIL","","","0.0","0.0"
"USD","GOOGL","ALPHABET INC-CL A","US02079K3059","1","17/03/2025","17/03/2025","2","-0.06","0","-0.34","149210823","","","0.91555","STK","COMMON","208813719","US02079K3059","ISIN","02079K305","BBG009S39JX6","NASDAQ","","GOOGL","","","","US","","","","","17/03/2025","10/03/2025","0.2","-0.4","Re","","","DETAIL","","","0.0","0.0"
"USD","GOOGL","ALPHABET INC-CL A","US02079K3059","1","06/06/2025","16/06/2025","2","0.06","0","0.36","152379923","","","0.87559","STK","COMMON","208813719","US02079K3059","ISIN","02079K305","BBG009S39JX6","NASDAQ","","GOOGL","","","","US","","","","","09/06/2025","09/06/2025","0.21","0.42","Po","","","DETAIL","","","0.0","0.0"
"USD","GOOGL","ALPHABET INC-CL A","US02079K3059","1","16/06/2025","16/06/2025","2","-0.06","0","-0.36","152379923","","","0.86493","STK","COMMON","208813719","US02079K3059","ISIN","02079K305","BBG009S39JX6","NASDAQ","","GOOGL","","","","US","","","","","16/06/2025","09/06/2025","0.21","-0.42","Re","","","DETAIL","","","0.0","0.0"
"USD","JNJ","JOHNSON & JOHNSON","US4781601046","1","17/02/2025","04/03/2025","4","0.74","0","4.22","147697100","","","0.95733","STK","COMMON","8719","US4781601046","ISIN","478160104","BBG000BMHYD1","NYSE","","JNJ","","","","US","","","","","18/02/2025","18/02/2025","1.24","4.96","Po","","","DETAIL","","","0.0","0.0"
"USD","JNJ","JOHNSON & JOHNSON","US4781601046","1","04/03/2025","04/03/2025","4","-0.74","0","-4.22","147697100","","","0.94106","STK","COMMON","8719","US4781601046","ISIN","478160104","BBG000BMHYD1","NYSE","","JNJ","","","","US","","","","","04/03/2025","18/02/2025","1.24","-4.96","Re","","","DETAIL","","","0.0","0.0"
"USD","JNJ","JOHNSON & JOHNSON","US4781601046","1","26/05/2025","10/06/2025","4","0.78","0","4.42","152213300","","","0.88276","STK","COMMON","8719","US4781601046","ISIN","478160104","BBG000BMHYD1","NYSE","","JNJ","","","","US","","","","","27/05/2025","27/05/2025","1.3","5.2","Po","","","DETAIL","","","0.0","0.0"
"USD","JNJ","JOHNSON & JOHNSON","US4781601046","1","10/06/2025","10/06/2025","4","-0.78","0","-4.42","152213300","","","0.87521","STK","COMMON","8719","US4781601046","ISIN","478160104","BBG000BMHYD1","NYSE","","JNJ","","","","US","","","","","10/06/2025","27/05/2025","1.3","-5.2","Re","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","01/01/2025","15/01/2025","15","0.59","0","3.37","146941111","","","0.97399","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","02/01/2025","02/01/2025","0.264","3.96","Po","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","15/01/2025","15/01/2025","15","-0.59","0","-3.37","146941111","","","0.97177","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","15/01/2025","02/01/2025","0.264","-3.96","Re","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","31/01/2025","14/02/2025","15","0.59","0","3.37","148458812","","","0.96679","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","03/02/2025","03/02/2025","0.264","3.96","Po","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","14/02/2025","14/02/2025","15","-0.59","0","-3.37","148458812","","","0.95309","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","14/02/2025","03/02/2025","0.264","-3.96","Re","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","28/02/2025","14/03/2025","15","0.6","0","3.42","149791105","","","0.95346","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","03/03/2025","03/03/2025","0.268","4.02","Po","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","14/03/2025","14/03/2025","15","-0.6","0","-3.42","149791105","","","0.91919","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","14/03/2025","03/03/2025","0.268","-4.02","Re","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","31/03/2025","15/04/2025","15","0.6","0","3.43","150794454","","","0.92662","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","01/04/2025","01/04/2025","0.2685","4.03","Po","","","DETAIL","","","0.0","0.0"
"USD","O","REALTY INCOME CORP","US7561091049","1","15/04/2025","15/04/2025","15","-0.6","0","-3.43","150794454","","","0.88638","STK","REIT","10672","US7561091049","ISIN","756109104","BBG000DHPN63","NYSE","","O","","","","US","","","","","15/04/2025","01/04/2025","0.2685","-4.03","Re","","","DETAIL","","","0.0","0.0"
