"CurrencyPrimary","AssetClass","Symbol","ISIN","DateTime","TradeDate","Quantity","TradePrice","IBCommission","IBCommissionCurrency","Buy/Sell","IBExecID"
"EUR","STK","AD","NL0011794037","08/08/2024;15:00:00","08/08/2024","-100","29.5","0","EUR","SELL",""
"USD","STK","AGNC","US00123Q1040","27/09/2024;14:59:21","27/09/2024","100","10.525","-0.37545725","USD","BUY","00030f00.66f74e95.01.01"
"USD","STK","AGNC","US00123Q1040","30/10/2024;16:20:00","30/10/2024","-100","3","-0.02494","USD","SELL",""
"USD","STK","MMM","US88579Y1010","14/05/2024;17:20:21","14/05/2024","-5","99.35","-0.34556125","USD","SELL","0001390e.66439b4f.01.01"
"USD","STK","PFE","US7170811035","31/10/2024;16:20:00","31/10/2024","100","29","0","USD","BUY",""
"USD","STK","SOLV","US83444M1018","29/03/2024;20:25:00","29/03/2024","-0.25","76.0613","0","USD","SELL",""
"USD","STK","SOLV","US83444M1018","29/03/2024;20:25:00","04/04/2024","0.25","76.0613","0","USD","SELL (Ca.)",""
"USD","STK","SOLV","US83444M1018","29/03/2024;20:25:00","04/04/2024","-0.25","69.1","0","USD","SELL",""
"EUR","OPT","4AH P@29.4 AUG24","","12/08/2024;03:26:28","12/08/2024","-1","0.25","-1.36","EUR","SELL","00010c05.66b99669.01.01"
"EUR","OPT","4AH P@29.4 AUG24","","21/08/2024;10:36:01","21/08/2024","1","0.04","-1.36","EUR","BUY","00010c05.66c57425.01.01"
"EUR","OPT","AH C@27.5 FEB24","","17/01/2024;08:35:21","17/01/2024","-1","0.32","-1.36","EUR","SELL","00010c05.65a76cb7.01.01"
"EUR","OPT","AH C@27.5 FEB24","","01/02/2024;09:54:52","01/02/2024","1","0.14","-1.36","EUR","BUY","00010c05.65bb3344.01.01"
"EUR","OPT","AH C@27.5 JAN24","","17/01/2024;07:02:47","17/01/2024","1","0.01","-1.36","EUR","BUY","00010c05.65a76cac.01.01"
"EUR","OPT","AH C@27.5 MAR24","","14/02/2024;10:27:32","14/02/2024","-1","0.28","-1.36","EUR","SELL","00010c05.65cc56d1.01.01"
"EUR","OPT","AH C@27.5 MAR24","","07/03/2024;09:19:44","07/03/2024","1","0.65","-1.36","EUR","BUY","00010c05.65e957b7.01.01"
"EUR","OPT","AH C@28.5 JUL24","","17/06/2024;10:53:09","17/06/2024","-1","0.35","-1.36","EUR","SELL","00010c05.666fc2c9.01.01"
"EUR","OPT","AH C@28.5 JUL24","","08/07/2024;10:05:59","08/07/2024","1","0.21","-1.36","EUR","BUY","00010c05.668b7210.01.01"
"EUR","OPT","AH C@28.5 JUN24","","13/05/2024;08:30:54","13/05/2024","-1","1.6","-1.36","EUR","SELL","00010c05.66419e17.01.01"
"EUR","OPT","AH C@28.5 JUN24","","17/06/2024;09:03:02","17/06/2024","1","0.06","-1.36","EUR","BUY","00010c05.666fc2b2.01.01"
"EUR","OPT","AH C@28.5 MAY24","","27/03/2024;06:13:51","27/03/2024","-1","0.23","-1.36","EUR","SELL","00010c05.6603b58f.01.01"
"EUR","OPT","AH C@28.5 MAY24","","13/05/2024;08:17:14","13/05/2024","1","1.32","-1.36","EUR","BUY","00010c05.66419e16.01.01"
"EUR","OPT","AH C@29 APR24","","08/03/2024;11:28:21","08/03/2024","-1","0.17","-1.36","EUR","SELL","00010c05.65eaa95d.01.01"
"EUR","OPT","AH C@29 APR24","","21/03/2024;04:19:00","21/03/2024","1","0.02","-1.36","EUR","BUY","00010c05.65fbcc7d.01.01"
"EUR","OPT","AH C@29.5 AUG24","","15/07/2024;04:39:38","15/07/2024","-1","0.37","-1.36","EUR","SELL","00010c05.6694ac72.01.01"
"EUR","OPT","AH C@29.5 AUG24","","08/08/2024;15:00:00","08/08/2024","1","0","0","EUR","BUY",""
"EUR","OPT","AH P@29.5 SEP24","","22/08/2024;10:50:08","22/08/2024","-1","0.25","-1.36","EUR","SELL","00010c05.66c6c5b7.01.01"
"EUR","OPT","AH P@29.5 SEP24","","12/09/2024;06:46:00","12/09/2024","1","0.04","-1.36","EUR","BUY","00010c05.66e27520.01.01"
"USD","OPT","AGNC  260116C00003000","","16/10/2024;09:31:03","16/10/2024","-1","7.5","-0.82659","USD","SELL","0001107e.670f9d47.01.01"
"USD","OPT","AGNC  260116C00003000","","30/10/2024;16:20:00","30/10/2024","1","0","0","USD","BUY",""
"USD","OPT","DJT   241108C00100000","","05/11/2024;15:17:51","05/11/2024","-1","0.95","-0.706981","USD","SELL","00014247.672a2080.03.01"
"USD","OPT","DJT   241108C00100000","","06/11/2024;11:29:30","06/11/2024","1","0.07","-1.52155","USD","BUY","00014247.672b75c8.03.01"
"USD","OPT","DJT   241108C00105000","","05/11/2024;15:17:51","05/11/2024","1","0.86","-0.70155","USD","BUY","00014247.672a2080.02.01"
"USD","OPT","DJT   241108C00105000","","06/11/2024;11:29:30","06/11/2024","-1","0.05","-1.524479","USD","SELL","00014247.672b75c8.02.01"
"USD","OPT","DJT   241108P00010000","","05/11/2024;15:17:51","05/11/2024","1","0.41","-0.70155","USD","BUY","00014247.672a2080.05.01"
"USD","OPT","DJT   241108P00010000","","08/11/2024;16:20:00","08/11/2024","-1","0","0","USD","SELL",""
"USD","OPT","DJT   241108P00015000","","05/11/2024;15:17:51","05/11/2024","-1","1.1","-0.707398","USD","SELL","00014247.672a2080.04.01"
"USD","OPT","DJT   241108P00015000","","06/11/2024;11:29:30","06/11/2024","1","0.03","-1.52155","USD","BUY","00014247.672b75c8.04.01"
"USD","OPT","GEO   240524P00013500","","17/04/2024;14:39:07","17/04/2024","-1","0.3","-1.04988","USD","SELL","0001389e.661fea9d.01.01"
"USD","OPT","GEO   240524P00013500","","24/05/2024;16:20:00","24/05/2024","1","0","0","USD","BUY",""
"USD","OPT","GEO   240614P00013500","","29/05/2024;13:00:13","29/05/2024","-1","0.3","-0.000474","USD","SELL","0001399d.6657105b.01.01"
"USD","OPT","GEO   240614P00013500","","13/06/2024;10:22:51","13/06/2024","1","0.72","0.00315","USD","BUY","0001399d.666ad556.01.01"
"USD","OPT","GEO   240719P00013000","","13/06/2024;11:17:07","13/06/2024","-1","0.65","-1.051447","USD","SELL","0001fad8.666ada5d.01.01"
"USD","OPT","GEO   240719P00013000","","01/07/2024;13:37:34","01/07/2024","1","0.05","-0.04685","USD","BUY","000130c3.66829e84.01.01"
"USD","OPT","GEO   240913P00013000","","26/08/2024;15:33:17","26/08/2024","-1","0.28","-1.0504184","USD","SELL","000130d1.66cc9db5.01.01"
"USD","OPT","GEO   240913P00013000","","13/09/2024;13:54:30","13/09/2024","1","0.3","-0.30335","USD","BUY","00011083.66e442ac.01.01"
"USD","OPT","GEO   240920P00013000","","13/09/2024;14:08:15","13/09/2024","-1","0.51","-1.0575578","USD","SELL","0001389e.66e466c3.01.01"
"USD","OPT","GEO   240920P00013000","","19/09/2024;09:56:55","19/09/2024","1","0.35","-0.05335","USD","BUY","000130c3.66ec0c22.01.01"
"USD","OPT","KO    241108C00066000","","05/11/2024;12:44:12","05/11/2024","-1","0.2","-0.574896","USD","SELL","0001de5e.672a2415.01.01"
"USD","OPT","KO    241108C00066000","","08/11/2024;15:51:54","08/11/2024","1","0.01","-0.70155","USD","BUY","00014247.672e2434.03.01"
"USD","OPT","KO    241122C00066000","","08/11/2024;15:51:54","08/11/2024","-1","0.14","-0.7047292","USD","SELL","00014247.672e2434.02.01"
"USD","OPT","KO    241122C00066000","","19/11/2024;13:16:01","19/11/2024","1","0.01","-1.05155","USD","BUY","00014247.673c9263.03.01"
"USD","OPT","KO    241129C00064000","","19/11/2024;13:16:01","19/11/2024","-1","0.11","-1.0546458","USD","SELL","00014247.673c9263.02.01"
"USD","OPT","KO    241129C00064000","","21/11/2024;14:31:57","21/11/2024","1","0.38","-1.04155","USD","BUY","000139b2.673f57e5.01.01"
"USD","OPT","KO    241213C00066000","","26/11/2024;10:33:01","26/11/2024","-1","0.21","-1.0574238","USD","SELL","0000f8aa.6745d945.01.01"
"USD","OPT","KO    241213C00066000","","09/12/2024;10:33:32","09/12/2024","1","0.01","-1.04395","USD","BUY","000139b2.6756efd5.01.01"
"USD","OPT","KO    241220C00065000","","09/12/2024;13:30:16","09/12/2024","-1","0.16","-1.0471848","USD","SELL","000139b2.6757033a.01.01"
"USD","OPT","KO    241220C00065000","","20/12/2024;16:20:00","20/12/2024","1","0","0","USD","BUY",""
"USD","OPT","KO    250117C00065000","","23/12/2024;13:23:30","23/12/2024","-1","0.2","-1.447296","USD","SELL","0000eaa3.67696927.01.01"
"USD","OPT","KO    250919C00072500","","05/11/2024;12:42:36","05/11/2024","1","1.78","-0.80155","USD","BUY","00011083.672a2071.01.01"
"USD","OPT","PFE   240726P00026500","","09/07/2024;10:32:29","09/07/2024","-1","0.3","-1.050474","USD","SELL","000130d1.668d3ee0.01.01"
"USD","OPT","PFE   240726P00026500","","12/07/2024;15:50:59","12/07/2024","1","0.05","-1.04685","USD","BUY","0001fadc.669124e0.01.01"
"USD","OPT","PFE   240802P00027500","","15/07/2024;12:47:16","15/07/2024","-1","0.3","-1.040474","USD","SELL","0000f9a7.66953e4c.01.01"
"USD","OPT","PFE   240802P00027500","","31/07/2024;10:08:32","31/07/2024","1","0.01","-0.79685","USD","BUY","00011083.66aa29cb.01.01"
"USD","OPT","PFE   240816P00028000","","09/08/2024;11:25:07","09/08/2024","-1","0.18","-1.5301404","USD","SELL","00015256.66b6037f.01.01"
"USD","OPT","PFE   240816P00028000","","16/08/2024;12:56:38","16/08/2024","1","0.04","-1.44685","USD","BUY","00011083.66bf540e.01.01"
"USD","OPT","PFE   240830P00027500","","16/08/2024;13:15:07","16/08/2024","-1","0.24","-0.7403072","USD","SELL","000130d1.66bf70db.01.01"
"USD","OPT","PFE   240830P00027500","","23/08/2024;15:32:47","23/08/2024","1","0.04","-0.73685","USD","BUY","0001203b.66c88a95.01.01"
"USD","OPT","PFE   241101P00029000","","16/10/2024;15:14:16","16/10/2024","-1","0.41","-0.5768798","USD","SELL","0001de5e.670fbfc1.01.01"
"USD","OPT","PFE   241101P00029000","","31/10/2024;16:20:00","31/10/2024","1","0","0","USD","BUY",""
"USD","OPT","PFE   241122C00025500","","19/11/2024;14:52:07","19/11/2024","-1","0.08","-1.0545624","USD","SELL","0000f9a7.673cb7df.01.01"
"USD","OPT","PFE   241122C00025500","","22/11/2024;13:04:52","22/11/2024","1","0.17","-1.54155","USD","BUY","0000d970.674090c6.01.01"
"USD","OPT","PFE   241129C00025500","","22/11/2024;13:04:52","22/11/2024","-1","0.4","-1.555452","USD","SELL","0000dcdf.6740af57.01.01"
"USD","OPT","PFE   241129C00025500","","29/11/2024;10:28:50","29/11/2024","1","0.59","-1.05155","USD","BUY","0000f9a7.6749c3f6.01.01"
"USD","OPT","PFE   241220C00027500","","02/12/2024;13:28:38","02/12/2024","-1","0.12","-1.0470736","USD","SELL","0000f9a7.674ddc57.01.01"
"USD","OPT","PFE   241220C00027500","","20/12/2024;16:20:00","20/12/2024","1","0","0","USD","BUY",""
"USD","OPT","SOXL  241025P00031500","","22/10/2024;15:12:47","22/10/2024","1","0.22","-1.05295","USD","BUY","000130d4.6717e3f9.03.01"
"USD","OPT","SOXL  241025P00031500","","25/10/2024;16:20:00","25/10/2024","-1","0","0","USD","SELL",""
"USD","OPT","SOXL  241025P00033000","","22/10/2024;15:12:47","22/10/2024","-1","0.48","-1.0570744","USD","SELL","000130d4.6717e3f9.02.01"
"USD","OPT","SOXL  241025P00033000","","25/10/2024;09:52:27","25/10/2024","1","0.01","-1.05295","USD","BUY","0000d54d.671b9976.01.01"
"USD","OPT","SOXL  241213P00024500","","10/12/2024;10:58:57","10/12/2024","1","0.07","-1.24395","USD","BUY","0000dcdf.675853e7.03.01"
"USD","OPT","SOXL  241213P00024500","","13/12/2024;16:20:00","13/12/2024","-1","0","0","USD","SELL",""
"USD","OPT","SOXL  241213P00026000","","10/12/2024;10:58:57","10/12/2024","-1","0.21","-1.2473238","USD","SELL","0000dcdf.675853e7.02.01"
"USD","OPT","SOXL  241213P00026000","","13/12/2024;14:35:20","13/12/2024","1","0.01","-1.04395","USD","BUY","0000f9a7.675c6846.01.01"
"USD","OPT","TSLL  250103P00024700","","31/12/2024;10:08:11","31/12/2024","-1","0.2","-1.047296","USD","SELL","000130d4.6773f009.01.01"
"USD","CASH","EUR.USD","","13/09/2024;05:26:55","13/09/2024","-700","1.10925","-1.80596","EUR","SELL","00013669.66e586d1.01.01"
"USD","CASH","EUR.USD","","01/11/2024;05:15:27","01/11/2024","-2500","1.0866","-1.83766","EUR","SELL","00013669.672c7949.01.01"
